iter	Passed	Remaining
0	139	139245
1	142	70917
2	144	47991
3	146	36600
4	150	29858
5	153	25493
6	157	22334
7	160	19856
8	163	17988
9	166	16490
10	169	15221
11	172	14180
12	174	13260
13	177	12526
14	180	11870
15	184	11335
16	186	10775
17	188	10278
18	191	9897
19	193	9500
20	197	9184
21	199	8879
22	201	8579
23	204	8314
24	205	8031
25	208	7802
26	211	7612
27	212	7383
28	214	7181
29	216	6991
30	219	6858
31	220	6682
32	222	6525
33	224	6385
34	227	6277
35	230	6182
36	234	6094
37	235	5971
38	237	5848
39	239	5747
40	241	5652
41	243	5560
42	246	5479
43	247	5379
44	249	5292
45	251	5215
46	253	5139
47	255	5068
48	257	4993
49	259	4921
50	260	4844
51	261	4772
52	263	4703
53	264	4630
54	265	4562
55	266	4497
56	268	4434
57	269	4373
58	270	4316
59	272	4261
60	273	4204
61	274	4146
62	275	4090
63	275	4035
64	276	3982
65	277	3931
66	278	3882
67	279	3828
68	280	3784
69	281	3738
70	282	3693
71	283	3651
72	284	3612
73	285	3576
74	287	3540
75	288	3504
76	289	3467
77	290	3430
78	291	3394
79	292	3359
80	293	3325
81	294	3291
82	294	3259
83	295	3227
84	296	3192
85	297	3162
86	298	3129
87	300	3109
88	301	3086
89	303	3063
90	304	3037
91	305	3011
92	306	2985
93	307	2961
94	308	2935
95	309	2911
96	310	2887
97	311	2862
98	312	2840
99	313	2817
100	314	2801
101	316	2782
102	317	2767
103	319	2748
104	320	2732
105	322	2715
106	323	2697
107	324	2677
108	325	2659
109	326	2640
110	327	2623
111	328	2605
112	329	2589
113	331	2575
114	332	2558
115	333	2539
116	334	2524
117	335	2507
118	336	2489
119	337	2472
120	338	2455
121	339	2439
122	339	2421
123	340	2405
124	341	2392
125	342	2377
126	343	2363
127	344	2347
128	345	2334
129	346	2321
130	347	2308
131	348	2294
132	349	2280
133	350	2267
134	351	2253
135	353	2242
136	354	2230
137	354	2215
138	355	2203
139	356	2192
140	357	2179
141	358	2167
142	359	2157
143	361	2148
144	362	2140
145	363	2128
146	364	2117
147	365	2106
148	366	2095
149	367	2084
150	368	2073
151	369	2062
152	370	2052
153	372	2044
154	373	2033
155	374	2023
156	375	2015
157	376	2006
158	377	1997
159	378	1987
160	379	1978
161	380	1969
162	381	1959
163	382	1950
164	384	1945
165	386	1940
166	387	1932
167	388	1924
168	389	1916
169	391	1909
170	392	1901
171	393	1893
172	394	1885
173	395	1876
174	396	1867
175	397	1860
176	398	1855
177	400	1848
178	401	1841
179	402	1834
180	403	1824
181	404	1815
182	405	1809
183	406	1802
184	407	1796
185	408	1789
186	409	1781
187	410	1774
188	411	1767
189	413	1762
190	414	1755
191	415	1748
192	416	1742
193	417	1735
194	418	1728
195	419	1722
196	421	1716
197	422	1709
198	423	1704
199	424	1697
200	425	1691
201	426	1685
202	427	1679
203	428	1673
204	429	1666
205	430	1660
206	431	1653
207	432	1647
208	433	1641
209	434	1635
210	435	1630
211	437	1625
212	438	1620
213	439	1614
214	441	1611
215	442	1606
216	443	1601
217	444	1595
218	445	1590
219	446	1584
220	447	1578
221	448	1572
222	449	1566
223	450	1561
224	451	1556
225	452	1551
226	454	1546
227	455	1541
228	456	1535
229	457	1530
230	458	1524
231	458	1519
232	459	1514
233	460	1509
234	462	1504
235	462	1498
236	463	1493
237	464	1488
238	466	1484
239	467	1481
240	469	1478
241	470	1473
242	471	1468
243	472	1463
244	473	1458
245	474	1453
246	475	1448
247	476	1443
248	477	1438
249	477	1433
250	478	1428
251	479	1424
252	481	1420
253	482	1418
254	484	1414
255	485	1409
256	485	1405
257	486	1400
258	487	1395
259	488	1391
260	489	1387
261	490	1382
262	491	1378
263	492	1373
264	493	1369
265	494	1364
266	497	1364
267	498	1362
268	499	1358
269	500	1354
270	501	1349
271	502	1345
272	503	1341
273	504	1337
274	505	1333
