iter	Passed	Remaining
0	147	147301
1	150	75018
2	153	50967
3	157	39178
4	160	32023
5	164	27259
6	168	23839
7	171	21278
8	175	19294
9	178	17706
10	182	16396
11	185	15291
12	188	14320
13	192	13524
14	196	12896
15	199	12261
16	202	11715
17	205	11213
18	209	10822
19	212	10431
20	216	10075
21	219	9766
22	223	9497
23	226	9216
24	229	8965
25	232	8722
26	235	8502
27	238	8289
28	241	8101
29	244	7897
30	247	7726
31	250	7571
32	253	7423
33	255	7265
34	258	7114
35	260	6983
36	262	6843
37	265	6729
38	268	6616
39	271	6509
40	273	6400
41	275	6286
42	278	6191
43	281	6110
44	283	6023
45	286	5932
46	288	5853
47	291	5778
48	294	5707
49	296	5636
50	299	5569
51	301	5497
52	304	5432
53	306	5364
54	308	5297
55	310	5230
56	312	5168
57	314	5104
58	315	5036
59	317	4975
60	319	4918
61	321	4864
62	323	4810
63	325	4756
64	327	4705
65	329	4659
66	331	4612
67	332	4563
68	334	4515
69	336	4469
70	338	4423
71	339	4379
72	342	4345
73	343	4302
74	345	4263
75	347	4225
76	349	4186
77	350	4148
78	352	4114
79	354	4081
80	356	4046
81	358	4013
82	359	3972
83	361	3938
84	362	3907
85	364	3876
86	366	3845
87	368	3814
88	369	3786
89	371	3758
90	373	3731
91	374	3699
92	376	3672
93	378	3646
94	379	3619
95	381	3593
96	383	3568
97	384	3543
98	386	3515
99	387	3489
100	389	3463
101	390	3438
102	391	3412
103	393	3391
104	395	3370
105	397	3350
106	399	3331
107	401	3314
108	403	3295
109	404	3275
110	406	3252
111	407	3234
112	409	3215
113	411	3196
114	412	3177
115	414	3161
116	416	3140
117	418	3124
118	419	3105
119	421	3089
120	423	3074
121	424	3055
122	426	3038
123	428	3023
124	429	3009
125	431	2994
126	433	2977
127	434	2960
128	436	2946
129	438	2932
130	439	2918
131	441	2905
132	443	2891
133	445	2880
134	447	2869
135	449	2856
136	451	2842
137	453	2830
138	454	2817
139	456	2806
140	458	2794
141	459	2779
142	461	2766
143	463	2754
144	465	2742
145	466	2730
146	468	2719
147	470	2707
148	472	2696
149	474	2686
150	475	2676
151	477	2665
152	479	2653
153	481	2643
154	482	2632
155	484	2622
156	485	2609
157	487	2599
158	489	2588
159	491	2578
160	491	2563
161	493	2552
162	494	2541
163	496	2531
164	498	2522
165	500	2513
166	502	2504
167	503	2494
168	505	2485
169	507	2476
170	508	2466
171	510	2457
172	512	2448
173	514	2441
174	516	2433
175	518	2425
176	520	2418
177	522	2410
178	523	2401
179	525	2394
180	527	2386
181	529	2380
182	531	2372
183	533	2365
184	535	2357
185	536	2349
186	538	2341
187	540	2335
188	542	2329
189	544	2323
190	546	2316
191	548	2309
192	550	2302
193	552	2296
194	554	2288
195	556	2282
196	558	2276
197	560	2270
198	562	2264
199	564	2258
200	566	2253
201	568	2247
202	570	2241
203	572	2235
204	574	2228
205	576	2223
206	578	2217
207	580	2212
208	583	2206
209	584	2198
210	586	2191
211	588	2185
212	590	2180
213	591	2173
214	593	2167
215	595	2162
216	597	2155
217	599	2149
218	601	2143
219	602	2137
220	604	2131
221	606	2126
222	608	2120
223	610	2115
224	612	2109
225	614	2104
226	616	2099
227	618	2093
228	620	2088
229	622	2083
230	624	2077
231	626	2072
232	627	2066
233	629	2060
234	631	2055
235	633	2049
236	635	2044
237	637	2039
238	638	2033
239	640	2028
240	642	2022
241	644	2017
242	646	2013
243	648	2008
244	650	2003
245	651	1997
246	653	1992
247	655	1987
248	657	1982
249	659	1977
250	660	1971
251	662	1967
252	664	1962
253	666	1958
254	668	1953
255	670	1948
256	672	1943
257	674	1939
258	675	1933
259	677	1929
260	679	1924
261	681	1920
262	683	1915
263	685	1911
264	687	1906
265	689	1901
266	690	1896
267	692	1892
268	694	1887
269	696	1883
270	698	1878
271	700	1874
272	702	1870
273	704	1866
274	706	1862
275	708	1858
276	710	1853
277	712	1849
278	713	1845
279	716	1841
280	718	1837
281	719	1833
282	721	1828
283	723	1824
284	725	1820
285	727	1815
286	729	1811
287	731	1807
288	733	1804
289	735	1800
290	737	1796
291	739	1791
292	741	1788
293	743	1784
294	744	1779
295	746	1776
296	748	1772
297	750	1768
298	752	1763
299	753	1759
300	755	1755
301	757	1751
302	759	1746
303	761	1742
304	763	1738
305	764	1734
306	766	1729
307	767	1724
308	769	1720
309	771	1716
310	772	1711
311	774	1707
312	775	1703
313	777	1698
314	779	1694
315	780	1690
316	782	1686
317	784	1682
318	786	1678
319	787	1674
320	789	1670
321	791	1666
322	793	1663
323	795	1659
324	796	1655
325	798	1651
326	800	1647
327	802	1643
328	804	1640
329	805	1636
330	807	1632
331	809	1628
332	810	1623
333	812	1619
334	814	1615
335	815	1612
336	817	1608
337	819	1604
338	821	1600
339	822	1597
340	824	1593
341	825	1588
342	827	1584
343	828	1580
344	831	1577
345	832	1574
346	834	1570
347	836	1567
348	838	1563
349	839	1559
350	841	1555
351	843	1551
352	844	1548
353	846	1544
354	848	1541
355	849	1537
356	851	1533
357	853	1530
358	854	1526
359	856	1522
360	857	1518
361	859	1515
362	861	1511
363	863	1508
364	864	1504
365	866	1500
366	868	1497
367	869	1493
368	871	1490
369	873	1486
370	874	1483
371	876	1479
372	878	1476
373	879	1472
374	881	1469
375	883	1465
376	884	1462
377	887	1459
378	888	1456
379	890	1453
380	892	1449
381	894	1446
382	895	1442
383	897	1439
384	899	1436
385	900	1432
386	902	1429
387	904	1426
388	905	1422
389	907	1419
390	909	1416
391	911	1413
392	913	1410
393	914	1407
394	916	1403
395	918	1400
396	919	1396
397	921	1393
398	922	1390
399	924	1386
400	926	1383
401	927	1380
402	929	1376
403	930	1373
404	932	1370
405	934	1367
406	936	1364
407	938	1361
408	940	1358
409	942	1355
410	944	1353
411	946	1350
412	947	1347
413	949	1344
414	951	1341
415	953	1338
416	954	1335
417	956	1332
418	958	1329
419	960	1326
420	962	1323
421	963	1320
422	965	1317
423	967	1313
424	968	1310
425	970	1307
426	972	1304
427	974	1301
428	975	1298
429	977	1295
430	979	1292
431	980	1289
432	982	1286
433	984	1284
434	986	1281
435	988	1278
436	990	1275
437	991	1272
438	992	1268
439	994	1265
440	996	1262
441	998	1260
442	1000	1257
443	1001	1254
444	1003	1251
445	1005	1248
446	1006	1245
447	1008	1242
448	1010	1240
449	1012	1237
450	1014	1234
451	1015	1231
452	1017	1229
453	1019	1226
454	1021	1223
455	1023	1220
456	1024	1217
457	1026	1214
458	1028	1212
459	1030	1209
460	1032	1206
461	1033	1204
462	1035	1201
463	1037	1198
464	1039	1195
465	1041	1193
466	1042	1190
467	1044	1187
468	1046	1184
469	1048	1181
470	1049	1178
471	1051	1175
472	1052	1173
473	1054	1170
474	1056	1167
475	1057	1164
476	1059	1162
477	1061	1159
478	1063	1156
479	1065	1153
480	1066	1150
481	1068	1147
482	1070	1145
483	1072	1142
484	1073	1140
485	1075	1137
486	1077	1134
487	1078	1131
488	1080	1129
489	1082	1126
490	1084	1123
491	1085	1121
492	1087	1118
493	1089	1115
494	1091	1113
495	1092	1110
496	1094	1107
497	1096	1104
498	1097	1102
499	1099	1099
500	1101	1097
501	1103	1094
502	1104	1091
503	1106	1088
504	1108	1086
505	1109	1083
506	1111	1080
